iter	RMSE
0	1.220118233
1	1.210022649
2	1.20104961
3	1.192858504
4	1.183950803
5	1.176173725
6	1.164380762
7	1.156314261
8	1.14973644
9	1.139235037
10	1.132467991
11	1.126143879
12	1.121023803
13	1.110698981
14	1.104289717
15	1.098774925
16	1.093781885
17	1.085031351
18	1.080283709
19	1.076964531
20	1.07225962
21	1.063957302
22	1.059518811
23	1.055601951
24	1.05159817
25	1.047820127
26	1.04289759
27	1.038523549
28	1.033728995
29	1.032599367
30	1.028153344
31	1.022586399
32	1.016434664
33	1.010978602
34	1.005108066
35	1.000328277
36	0.9944391871
37	0.9893022793
38	0.9825848384
39	0.976743868
40	0.973054188
41	0.9688397628
42	0.9626479598
43	0.9571566631
44	0.9523608827
45	0.94714358
46	0.9416164415
47	0.9364849426
48	0.9299717525
49	0.9255949494
50	0.9213278163
51	0.9173131364
52	0.9121500771
53	0.9073717034
54	0.9018320375
55	0.8982318419
56	0.8930286131
57	0.8885830621
58	0.8844983316
59	0.8799790494
60	0.8752909465
61	0.8712506531
62	0.8671474963
63	0.8629376301
64	0.8589479162
65	0.855311384
66	0.8517500874
67	0.8476540073
68	0.8441409073
69	0.8408120029
70	0.8375104581
71	0.8343105892
72	0.8306147924
73	0.8270437459
74	0.8239423568
75	0.8208941408
76	0.8179365834
77	0.814978945
78	0.8120600246
79	0.809178313
80	0.8063430565
81	0.8035317328
82	0.8007726785
83	0.7972068087
84	0.7945172706
85	0.791839416
86	0.7892278025
87	0.7858276012
88	0.7832441338
89	0.7807295168
90	0.7782500963
91	0.7757735486
92	0.7726112016
93	0.7702093236
94	0.7678307926
95	0.7647979738
96	0.7624776488
97	0.7601786896
98	0.7572600512
99	0.7550044701
