iter	Passed	Remaining
0	0	219
1	0	162
2	0	135
3	0	121
4	1	128
5	1	121
6	1	128
7	2	126
8	2	132
9	2	132
10	3	145
11	3	150
12	4	151
13	4	156
14	4	161
15	5	164
16	5	162
17	5	159
18	6	156
19	6	154
20	6	151
21	6	149
22	7	151
23	7	150
24	7	149
25	8	147
26	8	148
27	8	146
28	8	144
29	9	142
30	9	140
31	9	138
32	9	137
33	9	135
34	10	135
35	10	133
36	10	132
37	11	134
38	11	137
39	12	139
40	12	140
41	12	141
42	13	145
43	14	149
44	15	159
45	16	160
46	16	159
47	16	160
48	17	159
49	17	159
50	18	159
51	18	158
52	18	158
53	19	158
54	19	160
55	20	165
56	21	170
57	22	170
58	22	169
59	23	168
60	23	168
61	24	171
62	24	171
63	24	170
64	25	169
65	25	169
66	26	169
67	26	167
68	26	166
69	26	165
70	27	167
71	27	166
72	28	165
73	28	165
74	29	164
75	29	163
76	30	166
77	31	169
78	31	169
79	32	169
80	33	171
81	34	175
82	36	180
83	37	183
84	38	186
85	38	186
86	39	185
87	39	184
88	39	183
89	39	181
90	40	182
91	41	182
92	45	198
93	45	197
94	46	197
95	48	205
96	49	206
97	49	204
98	50	204
99	51	204
100	51	203
101	51	201
102	52	200
103	52	199
104	52	198
105	53	197
106	53	196
107	53	195
108	54	196
109	55	197
110	57	200
111	58	204
112	59	204
113	60	203
114	60	202
115	60	201
116	61	200
117	61	199
118	62	198
119	62	198
120	63	197
121	63	197
122	64	197
123	64	196
124	65	195
125	65	195
126	68	200
127	68	200
128	69	199
129	69	198
130	70	199
131	71	199
132	72	198
133	72	198
134	73	198
135	74	199
136	75	199
137	75	199
138	76	198
139	76	197
140	76	195
141	77	194
142	78	195
143	79	195
144	79	195
145	81	197
146	82	197
147	82	196
148	82	195
149	87	204
150	88	203
151	88	203
152	89	202
153	89	201
154	89	200
155	90	200
156	91	199
157	91	198
158	92	198
159	92	197
160	93	196
161	94	197
162	94	196
163	95	195
164	95	194
165	96	193
166	96	193
167	97	192
168	97	190
169	98	190
170	99	192
171	100	191
172	100	190
173	101	189
174	101	188
175	101	187
176	102	186
177	103	187
178	104	186
179	106	188
180	106	188
181	107	187
182	107	186
183	108	185
184	108	184
185	108	183
186	109	183
187	109	182
188	110	181
189	110	180
190	111	180
191	111	179
192	112	178
193	112	177
194	113	177
195	114	176
196	114	176
197	114	175
198	115	174
199	115	173
200	115	172
201	116	171
202	116	170
203	117	170
204	117	169
205	118	168
206	118	167
207	120	168
208	121	168
209	121	167
210	122	167
211	123	167
212	124	167
213	125	167
214	125	166
215	126	166
216	127	165
217	127	165
218	128	165
219	129	164
220	130	164
221	131	164
222	131	163
223	131	162
224	132	161
225	132	160
226	132	159
227	132	158
228	133	157
229	133	156
230	133	155
231	134	154
232	134	153
233	134	152
234	134	151
235	135	151
236	135	150
237	135	149
238	136	148
239	136	147
240	136	147
241	137	146
242	137	145
243	137	144
244	138	143
245	138	142
246	138	142
247	141	143
248	141	142
249	142	142
250	142	141
251	143	140
252	143	140
253	143	139
254	144	138
255	144	137
256	145	137
257	145	136
258	146	135
259	146	135
260	146	134
261	147	133
262	147	133
263	147	132
264	148	131
265	148	130
266	148	130
267	149	129
268	149	128
269	150	128
270	150	127
271	151	126
272	152	127
273	153	126
274	153	125
275	153	124
276	154	124
277	156	124
278	156	124
279	157	123
280	158	123
281	158	122
282	159	121
283	159	121
284	159	120
285	160	119
286	160	118
287	160	118
288	161	117
289	161	116
290	162	116
291	163	116
292	164	116
293	165	115
294	166	115
295	166	115
296	167	114
297	167	113
298	168	113
299	168	112
300	169	111
301	170	111
302	171	111
303	171	110
304	171	109
305	172	109
306	172	108
307	172	107
308	172	106
309	173	106
310	173	105
311	173	104
312	174	103
313	174	103
314	174	102
315	175	102
316	175	101
317	176	100
318	176	100
319	177	99
320	177	99
321	178	98
322	178	97
323	178	96
324	178	96
325	178	95
326	179	94
327	179	94
328	179	93
329	181	93
330	181	92
331	182	92
332	182	91
333	183	91
334	183	90
335	184	89
336	184	89
337	185	88
338	185	88
339	186	87
340	186	87
341	186	86
342	187	85
343	187	84
344	187	84
345	188	83
346	188	83
347	189	82
348	189	81
349	189	81
350	190	80
351	190	80
352	190	79
353	191	78
354	191	78
355	194	78
356	194	78
357	195	77
358	195	76
359	196	76
360	196	75
361	197	75
362	198	74
363	200	74
364	200	74
365	201	73
366	201	73
367	201	72
