,Learner,Mean,Bias,Variance,Mean_SD_Err,RMSE,CI_Width,Coverage,Dimensionality
0,OLS_sklearn,0.9973,-0.0027,0.0239,0.1648,0.1544,0.646,0.964,0.05
1,OLS_Strict,0.999,-0.001,0.0233,0.1639,0.1526,0.6426,0.962,0.05
2,OLS_Safe,0.999,-0.001,0.0233,0.1639,0.1526,0.6426,0.962,0.05
3,Lasso,0.9952,-0.0048,0.0235,0.1647,0.1534,0.6456,0.958,0.05
4,Ridge,0.9947,-0.0053,0.0234,0.1644,0.1528,0.6443,0.96,0.05
5,ElasticNet,0.9954,-0.0046,0.0235,0.1645,0.1532,0.6449,0.96,0.05
6,FusedLasso,0.9977,-0.0023,0.0234,0.1637,0.1528,0.6418,0.964,0.05
7,RF,0.9837,-0.0163,0.0235,0.1645,0.1541,0.6447,0.958,0.05
8,ExtraTrees,0.9836,-0.0164,0.0236,0.1645,0.1544,0.6447,0.96,0.05
9,HonestForest,1.0923,0.0923,0.0251,0.3146,0.1832,1.2334,0.998,0.05
10,GB,0.9934,-0.0066,0.0235,0.165,0.1532,0.6468,0.964,0.05
11,CatBoost,0.9944,-0.0056,0.0236,0.1643,0.1535,0.6441,0.96,0.05
12,XGBoost,0.9868,-0.0132,0.0235,0.1653,0.1537,0.6478,0.958,0.05
13,KRR_RBF,1.0003,0.0003,0.023,0.1631,0.1517,0.6394,0.962,0.05
14,SVR_RBF,0.9962,-0.0038,0.0242,0.1659,0.1553,0.6505,0.958,0.05
15,NeuralNet,0.9968,-0.0032,0.0241,0.165,0.1551,0.6467,0.962,0.05
0,OLS_sklearn,0.98,-0.02,0.0419,0.1911,0.2055,0.7491,0.926,0.1
1,OLS_Strict,0.9943,-0.0057,0.0416,0.1878,0.2039,0.7363,0.926,0.1
2,OLS_Safe,0.9943,-0.0057,0.0416,0.1878,0.2039,0.7363,0.926,0.1
3,Lasso,0.9872,-0.0128,0.0414,0.1895,0.2036,0.7429,0.926,0.1
4,Ridge,0.9817,-0.0183,0.0416,0.1908,0.2047,0.748,0.928,0.1
5,ElasticNet,0.9904,-0.0096,0.0409,0.1892,0.2022,0.7418,0.928,0.1
6,FusedLasso,0.992,-0.008,0.0391,0.1855,0.1976,0.7273,0.928,0.1
7,RF,0.9931,-0.0069,0.0403,0.1887,0.2005,0.7395,0.934,0.1
8,ExtraTrees,0.9926,-0.0074,0.0401,0.1888,0.2002,0.7402,0.934,0.1
9,HonestForest,1.2506,0.2506,0.0396,0.3164,0.3199,1.2404,0.958,0.1
10,GB,0.9832,-0.0168,0.0412,0.1898,0.2035,0.7442,0.93,0.1
11,CatBoost,0.988,-0.012,0.0416,0.1908,0.2041,0.748,0.93,0.1
12,XGBoost,0.9884,-0.0116,0.0403,0.1888,0.2008,0.74,0.928,0.1
13,KRR_RBF,1.0002,0.0002,0.0411,0.1871,0.2024,0.7333,0.924,0.1
14,SVR_RBF,1.0076,0.0076,0.0393,0.1922,0.1981,0.7535,0.94,0.1
15,NeuralNet,0.9696,-0.0304,0.0447,0.1954,0.2135,0.7661,0.928,0.1
0,OLS_sklearn,1.0216,0.0216,0.0593,0.2071,0.2441,0.812,0.906,0.15
1,OLS_Strict,1.0501,0.0501,0.0544,0.1996,0.2383,0.7826,0.898,0.15
2,OLS_Safe,1.0501,0.0501,0.0544,0.1996,0.2383,0.7826,0.898,0.15
3,Lasso,1.0823,0.0823,0.0534,0.2077,0.2451,0.8143,0.906,0.15
4,Ridge,1.0768,0.0768,0.0531,0.2073,0.2427,0.8127,0.904,0.15
5,ElasticNet,1.0918,0.0918,0.0522,0.208,0.2459,0.8155,0.906,0.15
