,Learner,Mean,Bias,Variance,Mean_SD_Err,RMSE,CI_Width,Coverage,Sparsity
0,OLS_sklearn,1.1542,0.1542,0.0531,0.2235,0.2771,0.876,0.872,0.1
1,OLS_Strict,1.1999,0.1999,0.0659,0.2474,0.3252,0.9699,0.836,0.1
2,OLS_Safe,1.1999,0.1999,0.0659,0.2474,0.3252,0.9699,0.836,0.1
3,Lasso,1.1762,0.1762,0.0517,0.2266,0.2875,0.8884,0.852,0.1
4,Ridge,1.194,0.194,0.0497,0.2264,0.2954,0.8877,0.842,0.1
5,ElasticNet,1.215,0.215,0.049,0.2299,0.3084,0.9012,0.826,0.1
6,FusedLasso,1.1636,0.1636,0.0505,0.226,0.2778,0.8859,0.87,0.1
7,RF,1.2118,0.2118,0.0484,0.2307,0.3053,0.9042,0.832,0.1
8,ExtraTrees,1.2113,0.2113,0.0484,0.2307,0.3049,0.9043,0.832,0.1
9,HonestForest,1.3796,0.3796,0.054,0.2854,0.445,1.1189,0.772,0.1
10,GB,1.1654,0.1654,0.0529,0.2274,0.2832,0.8915,0.866,0.1
11,CatBoost,1.1748,0.1748,0.0519,0.2278,0.287,0.8928,0.852,0.1
12,XGBoost,1.1745,0.1745,0.0517,0.2271,0.2865,0.8903,0.854,0.1
13,KRR_RBF,1.2179,0.2179,0.0485,0.2301,0.3097,0.9021,0.824,0.1
14,SVR_RBF,1.204,0.204,0.0492,0.2297,0.3012,0.9004,0.84,0.1
15,NeuralNet,1.1644,0.1644,0.0529,0.2272,0.2826,0.8906,0.866,0.1
0,OLS_sklearn,1.3912,0.3912,0.0898,0.2706,0.4926,1.0608,0.654,0.2
1,OLS_Strict,1.484,0.484,0.0814,0.2552,0.5617,1.0004,0.518,0.2
2,OLS_Safe,1.484,0.484,0.0814,0.2552,0.5617,1.0004,0.518,0.2
3,Lasso,1.4149,0.4149,0.0881,0.2715,0.51,1.0644,0.63,0.2
4,Ridge,1.4181,0.4181,0.087,0.2723,0.5115,1.0673,0.626,0.2
5,ElasticNet,1.4178,0.4178,0.0872,0.2721,0.5115,1.0666,0.626,0.2
6,FusedLasso,1.4043,0.4043,0.0834,0.2688,0.4967,1.0539,0.658,0.2
