iter	RMSE
0	1.765317384
1	1.761024789
2	1.739425304
3	1.726727758
4	1.718557329
5	1.70470079
6	1.695801709
7	1.675117472
8	1.662414168
9	1.655143587
10	1.640385763
11	1.634932806
12	1.627137311
13	1.612556465
14	1.602677457
15	1.586073749
16	1.582156126
17	1.566042817
18	1.548808678
19	1.539843776
20	1.530452348
21	1.526557632
22	1.514441056
23	1.501670782
24	1.494601008
25	1.48766386
26	1.480336498
27	1.4734845
28	1.466643505
29	1.460828516
30	1.454511253
31	1.441051113
32	1.435170002
33	1.424508934
34	1.411780738
35	1.400327096
36	1.395156044
37	1.388340416
38	1.38045303
39	1.371830935
40	1.361036818
41	1.354163316
42	1.346148091
43	1.338703253
44	1.331316296
45	1.321490941
46	1.315996883
47	1.306688468
48	1.293987946
49	1.285058712
50	1.279085674
51	1.269066273
52	1.260112049
53	1.257831706
54	1.247976092
55	1.237933815
56	1.230193102
57	1.224779395
58	1.218709163
59	1.209080324
60	1.198836242
61	1.194473017
62	1.187999684
63	1.180745674
64	1.171262799
65	1.162015696
66	1.153044437
67	1.145527143
68	1.137523818
69	1.131136717
70	1.123660744
71	1.116769841
72	1.112489595
73	1.10596075
74	1.100424251
75	1.097224927
76	1.087706623
77	1.081939167
78	1.075781973
79	1.067631575
80	1.059022985
81	1.054258544
82	1.04995618
83	1.042092632
84	1.035569302
85	1.032305308
86	1.026122796
87	1.020809325
88	1.01366379
89	1.006205345
90	1.001443279
91	0.9944959415
92	0.9875757492
93	0.9832368805
94	0.9783437171
95	0.971435716
96	0.9654740379
97	0.9592942192
98	0.9544338133
99	0.9504477935
100	0.9458927246
101	0.9398880601
102	0.9342547376
103	0.9284462762
104	0.9245614047
105	0.9192875935
106	0.9138133644
107	0.9084726807
108	0.9045978109
109	0.8995400531
110	0.8955705193
111	0.8916017933
112	0.8867064256
113	0.882221891
114	0.8786258211
115	0.8749390027
116	0.8721671066
117	0.8687771837
118	0.8639413154
119	0.8582142906
120	0.8539848466
121	0.8498934076
122	0.8458664596
123	0.8426414074
124	0.839485367
