iter	Passed	Remaining
0	0	125
1	0	105
2	0	147
3	1	162
4	1	146
5	1	163
6	2	200
7	3	215
8	3	210
9	4	204
10	4	197
11	4	186
12	4	181
13	5	179
14	5	173
15	5	172
16	5	165
17	6	166
18	6	165
19	6	161
20	6	158
21	7	152
22	7	148
23	7	147
24	7	142
25	7	138
26	7	136
27	7	133
28	8	131
29	8	127
30	8	124
31	8	122
32	8	119
33	8	117
34	8	115
35	8	113
36	8	110
37	8	108
38	9	106
39	9	104
40	10	118
41	10	117
42	10	116
43	11	115
44	11	114
45	11	112
46	11	111
47	11	109
48	11	108
49	11	107
50	12	106
51	12	105
52	12	104
53	12	102
54	12	102
55	12	101
56	12	100
57	13	99
58	13	98
59	13	97
60	13	97
61	13	95
62	13	95
63	13	94
64	14	93
65	14	93
66	14	92
67	14	91
68	14	91
69	14	90
70	15	90
71	15	90
72	15	89
73	15	89
74	15	88
75	15	87
76	15	87
77	16	87
78	16	86
79	16	86
80	16	85
81	16	84
82	16	83
83	16	83
84	17	83
85	17	82
86	17	82
87	17	81
88	17	81
89	17	80
90	17	79
91	17	79
92	18	79
93	18	78
94	18	78
95	18	77
96	18	77
97	18	77
98	18	76
99	19	76
100	19	75
101	19	75
102	19	75
103	19	74
104	19	74
105	19	73
106	20	73
107	20	73
108	20	72
109	20	72
110	20	72
111	20	71
112	20	71
113	21	71
114	21	70
115	21	70
116	21	70
117	21	69
118	21	69
119	21	69
120	22	69
121	22	68
122	22	68
123	22	68
124	22	67
125	22	68
126	23	67
127	23	67
128	23	67
129	23	67
130	23	67
131	23	66
132	24	66
133	24	66
134	24	66
135	24	65
136	24	65
137	24	65
138	25	65
139	25	64
140	25	64
141	25	64
142	25	64
143	25	63
144	25	63
145	26	63
146	26	63
147	26	62
148	26	62
149	26	62
150	26	62
151	27	61
152	27	62
153	27	61
154	27	61
155	27	61
156	28	61
157	28	61
158	28	60
159	28	60
160	28	60
161	28	60
162	29	60
163	29	59
164	29	59
165	29	59
166	29	59
167	29	59
168	30	58
169	30	58
170	30	58
171	30	58
172	30	58
173	30	57
174	31	57
175	31	57
176	31	57
177	31	57
178	31	56
179	31	56
180	32	56
181	32	56
182	32	56
183	32	55
184	32	55
185	32	55
186	32	55
187	33	54
188	33	54
189	33	54
190	33	54
191	33	54
192	33	53
193	33	53
194	34	53
195	34	53
196	34	52
197	34	52
198	34	52
199	34	52
200	35	52
201	35	51
202	35	51
203	35	51
204	35	51
205	35	51
206	36	51
207	36	50
208	36	50
209	36	50
210	36	50
211	36	50
212	37	50
213	37	49
214	37	49
215	37	49
216	37	49
217	37	48
218	38	48
219	38	48
220	38	48
221	38	48
222	38	47
223	38	47
224	38	47
225	39	47
226	39	47
227	39	46
228	39	46
229	39	46
230	39	46
231	40	46
232	40	46
233	40	46
234	40	45
235	40	45
236	41	45
237	41	45
238	41	45
239	41	45
240	42	45
241	42	44
242	42	44
243	42	44
244	42	44
245	43	44
246	43	44
247	43	44
248	43	43
249	43	43
250	43	43
251	44	43
252	44	43
253	44	42
254	44	42
255	44	42
256	44	42
257	45	42
258	45	42
259	45	41
260	45	41
261	45	41
262	45	41
263	46	41
264	46	40
265	46	40
266	46	40
267	46	40
268	46	40
269	46	40
270	47	39
271	47	39
272	47	39
273	47	39
274	47	39
275	47	38
276	48	38
277	48	38
278	48	38
279	48	38
280	48	38
281	48	37
282	49	37
283	49	37
284	49	37
285	49	37
286	49	37
287	50	36
288	50	36
289	50	36
290	50	36
291	50	36
292	50	35
293	50	35
294	51	35
295	51	35
296	51	35
297	51	34
298	51	34
299	51	34
300	51	34
301	52	34
302	52	33
303	52	33
304	52	33
305	52	33
306	53	33
307	53	33
308	53	32
309	53	32
310	53	32
311	53	32
312	54	32
313	54	32
314	54	31
315	54	31
316	54	31
317	54	31
318	55	31
319	55	31
320	55	30
321	55	30
322	55	30
323	55	30
324	56	30
325	56	30
326	56	29
327	56	29
328	56	29
329	56	29
330	57	29
331	57	28
332	57	28
333	57	28
334	57	28
335	57	28
336	57	28
337	58	27
338	58	27
339	58	27
340	58	27
341	58	27
342	58	26
343	59	26
344	59	26
345	59	26
346	59	26
347	59	26
348	59	25
349	59	25
350	60	25
351	60	25
352	60	25
353	60	25
354	60	24
355	61	24
356	61	24
357	61	24
358	61	24
359	61	24
360	61	23
361	62	23
362	62	23
363	62	23
364	62	23
365	62	22
366	62	22
367	63	22
368	63	22
369	63	22
370	63	22
371	63	21
372	63	21
373	63	21
374	64	21
375	64	21
376	65	21
377	65	21
378	65	20
379	65	20
380	66	20
381	66	20
382	66	20
383	66	20
384	66	20
385	67	19
386	67	19
387	67	19
388	67	19
389	68	19
390	68	19
391	68	18
392	68	18
393	68	18
394	69	18
395	69	18
396	69	18
397	69	17
398	69	17
399	70	17
400	70	17
401	70	17
402	70	17
403	71	16
404	71	16
405	71	16
406	71	16
407	71	16
408	72	16
409	72	15
410	72	15
411	72	15
412	72	15
413	73	15
414	73	15
415	73	14
416	73	14
417	73	14
418	74	14
419	74	14
420	74	13
421	74	13
422	74	13
423	75	13
424	75	13
425	75	13
426	76	13
427	76	12
428	76	12
429	77	12
430	77	12
431	78	12
432	78	12
433	78	11
434	79	11
435	79	11
436	79	11
437	79	11
438	79	11
439	79	10
440	79	10
441	80	10
442	80	10
443	80	10
444	80	9
445	80	9
446	80	9
447	80	9
448	80	9
449	81	9
450	81	8
451	81	8
452	81	8
453	81	8
454	81	8
455	81	7
456	81	7
457	82	7
458	82	7
459	82	7
460	82	6
461	82	6
462	82	6
463	82	6
464	82	6
465	83	6
466	83	5
467	83	5
468	83	5
469	83	5
470	83	5
471	83	4
472	83	4
473	84	4
474	84	4
475	84	4
476	84	4
477	84	3
478	84	3
479	84	3
480	84	3
481	84	3
482	85	2
483	85	2
484	85	2
485	85	2
486	85	2
487	85	2
488	85	1
489	85	1
490	86	1
491	86	1
492	86	1
493	86	1
494	86	0
495	86	0
496	86	0
497	87	0
498	87	0
499	87	0
